LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO
92,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.071,2020-11-25 12:48:13,authentication,0.0,OK
93,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.102,2020-11-25 12:48:13,SET,0.171,OK
94,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.134,2020-11-25 12:48:13,SELECT,1.712,OK
95,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.165,2020-11-25 12:48:13,SELECT,2.603,OK
96,prueba,karen,192.168.1.79,10024,2020-11-25,12:49:13.358,2020-11-25 12:49:13,idle,0.0,OK
97,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.417,2020-11-25 12:49:13,authentication,0.0,OK
98,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.449,2020-11-25 12:49:13,SET,0.213,OK
99,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.481,2020-11-25 12:49:13,SELECT,2.259,OK
100,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.513,2020-11-25 12:49:13,SELECT,3.893,OK
101,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.587,2020-11-25 12:49:13,SELECT,0.879,OK
102,prueba,karen,192.168.1.79,10025,2020-11-25,12:50:13.618,2020-11-25 12:50:13,SELECT,0.957,OK
103,prueba,karen,192.168.1.79,10025,2020-11-25,12:50:13.647,2020-11-25 12:50:13,idle,0.0,OK
104,prueba,karen,192.168.1.79,10021,2020-11-25,12:50:13.098,2020-11-25 12:50:12,idle,0.0,OK
105,prueba,karen,192.168.1.79,10024,2020-11-25,12:50:13.158,2020-11-25 12:50:13,authentication,0.0,OK
106,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.188,2020-11-25 12:51:13,SET,0.170,OK
107,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.220,2020-11-25 12:51:13,SELECT,1.681,OK
108,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.252,2020-11-25 12:51:13,SELECT,3.220,OK
109,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.327,2020-11-25 12:51:13,SELECT,0.708,OK
110,prueba,karen,192.168.1.79,10028,2020-11-25,12:52:14.302,2020-11-25 12:52:13,SELECT,1.102,OK
